Price,Make,Model,Reg-Year,Configuration,Mileage(Miles),EngSize(Litres),Power(BHP),Control,Fuel-Type,Owners
"1,094",Ford,Focus,2007,Hatchback,"169,000",1.8,123,Manual,Petrol,5
"11,500",Citroen,C3,2018,SUV,"30,718",1.2,82,Manual,Petrol,1
"14,900",Ford,Fiesta,2018,Hatchback,"13,088",1,138,Manual,Petrol,1
"3,000",Citroen,C4,2011,Hatchback,"108,400",1.6,118,Manual,Petrol,3
"2,200",Alfa,Romeo,2010,Hatchback,"99,000",1.4,172,Manual,Petrol,3
"3,500",Volkswagen,Polo,2014,Hatchback,"107,348",1.2,59,Manual,Petrol,2
995,Vauxhall,Corsa,2007,Hatchback,"150,000",1.2,79,Manual,Petrol,5
"1,250",Volkswagen,Polo,2001,Hatchback,"40,000",1.4,60,Automatic,Petrol,3
"1,999",BMW,3,2009,Saloon,"133,000",2,143,Manual,Petrol,ns
"1,395",Ford,Focus,2005,Hatchback,"96,000",1.6,99,Manual,Petrol,4
"2,995",Vauxhall,Insignia,2011,Estate,"108,000",1.8,138,Manual,Petrol,3
995,Citroen,C1,2009,Hatchback,"95,000",1,67,Manual,Petrol,3
"3,500",MINI,Hatch,2008,Hatchback,"50,000",1.4,95,Manual,Petrol,3
"3,590",Vauxhall,Insignia,2010,Hatchback,"55,500",1.8,138,Manual,Petrol,ns
"10,474",Peugeot,2008,2017,SUV,"74,804",1.6,99,Manual,Diesel,1
"15,814",Mercedes-Benz,Cla,2016,Saloon,"94,400",2.1,134,Manual,Diesel,3
"2,650",Fiat,500,2010,Hatchback,"83,101",1.2,69,Manual,Petrol,4
"3,999",Fiat,500C,2012,Convertible,"74,000",1.2,69,Manual,Petrol,4
"2,495",Mercedes-Benz,C,2008,Coupe,"67,000",2.5,204,Manual,Petrol,1
"5,995",SEAT,Ibiza,2016,Hatchback,"105,000",1.2,108,Manual,Petrol,2
"5,295",Volkswagen,Polo,2012,Hatchback,"85,700",1.2,60,Manual,Petrol,2
"4,700",Honda,Jazz,2012,Hatchback,"86,000",1.4,98,Manual,Petrol,3
"3,495",BMW,3,2007,Convertible,"96,000",3,218,Manual,Petrol,2
"1,890",Vauxhall,Corsa,2007,Hatchback,"79,398",1,59,Manual,Petrol,4
"2,750",Vauxhall,Astra,2009,Hatchback,"75,750",1.8,138,Automatic,Petrol,7
"3,699",Fiat,500,2010,Hatchback,"37,930",0.9,85,Manual,Petrol,3
"3,999",Fiat,500C,2012,Convertible,"74,000",1.2,69,Manual,Petrol,4
"14,100",Hyundai,Tucson,2016,SUV,"39,357",1.7,114,Manual,Diesel,2
"12,300",Vauxhall,Insignia,2018,Hatchback,"62,521",1.6,134,Manual,Diesel,2
"3,000",Vauxhall,Corsa,2013,Hatchback,"78,998",1.2,84,Manual,Petrol,4
"1,550",Vauxhall,Astra,2009,Hatchback,"92,909",1.6,113,Manual,Petrol,4
989,Honda,Civic,2007,Hatchback,"111,000",1.8,138,Manual,Petrol,ns
"1,800",Vauxhall,Insignia,2009,Hatchback,"133,000",1.8,138,Manual,Petrol,5
"1,375",Saab,09-Mar,2007,Estate,"177,000",2,148,Manual,Petrol,4
"3,890",Vauxhall,Corsa,2013,Hatchback,"68,000",1.2,84,Manual,Petrol,1
"3,499",Nissan,Qashqai,2010,SUV,"117,000",1.6,113,Manual,Petrol,2
